@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L78614","43","0","457","1","13","5","1345","false"
"L78615","25","0","212","1","10","3","1345","false"
"L78616","103","0","624","0","17","4","1345","false"
"L78617","12","0","158","0","47","6","3122","false"
"L78618","4","0","73","0","5","3","327","false"
"L78619","1","0","22","1","8","4","1345","false"
"L78620","12","0","621","0","50","10","1345","false"
"L78621","12","0","573","1","12","4","1345","false"
"L78622","8","0","76","0","6","3","1345","false"
"L78623","8","0","86","1","6","2","1345","false"
"L78624","23","0","1010","0","62","5","1345","false"
"L78625","23","0","999","1","12","4","3122","false"
"L78626","3","0","47","0","3","3","420","false"
"L78627","69","0","819","2","13","4","1345","false"
"L78628","97","0","1059","2","37","4","3122","false"
"L78629","11","0","241","1","14","4","1345","false"
"L78630","23","0","208","0","2","2","1345","false"
"L78631","3","0","64","3","11","5","1345","false"
"L78632","17","0","237","0","6","3","1345","false"
"L78633","7","0","166","2","7","2","1345","false"
"L78634","2","0","29","0","7","5","561","false"
"L78635","3","0","118","1","1","1","1345","false"
"L78636","2","0","59","1","15","4","1345","false"
"L78637","15","0","235","2","17","4","1345","false"
"L78638","1","0","17","0","2","2","1345","false"
"L78639","11","0","133","1","18","4","3122","false"
"L78640","43","0","546","7","101","9","1345","false"
"L78641","9","0","100","0","18","2","1345","false"
"L78642","1","0","74","0","13","4","327","false"
"L78643","4","0","83","2","19","5","3122","false"
"L78644","17","0","452","1","28","4","1345","false"
"L78645","1","0","75","0","10","3","1345","false"
"L78646","5","0","67","2","18","6","1345","false"
"L78647","9","0","172","0","12","4","1345","false"
"L78648","1","0","42","0","11","1","1345","false"
"L78649","3","0","56","0","5","2","3122","false"
"L78650","4","0","100","0","6","2","3122","false"
"L78651","5","0","125","0","11","2","1345","false"
"L78652","2","0","35","1","7","4","327","false"
"L78653","8","0","180","0","13","2","1345","false"
"L78654","29","0","357","2","85","10","1345","false"
"L78655","9","0","170","0","11","3","1345","false"
"L78656","14","0","376","0","58","7","1345","false"
"L78657","3","0","46","0","6","3","1345","false"
"L78658","13","0","348","6","32","5","561","false"
"L78659","24","0","305","1","10","3","1345","false"
"L78660","9","0","93","1","10","4","3122","false"
"L78661","288","0","2177","0","22","6","1345","false"
"L78662","258","0","2126","2","41","7","3122","false"
"L78663","25","0","316","2","69","6","327","false"
"L78664","116","0","1191","5","203","11","1345","false"
"L78665","14","0","383","6","74","8","1345","false"
"L78666","1","0","57","1","19","7","561","false"
"L78667","7","0","164","1","45","7","1345","false"
"L78668","35","0","512","0","74","8","3122","false"
"L78669","3","0","126","0","6","3","3122","false"
"L78670","17","0","310","2","36","5","1345","false"
"L78671","9","0","206","2","29","6","82","false"
"L78672","8","0","134","0","15","6","82","false"
"L78673","3","0","28","0","12","2","327","false"
"L83388","6","0","25","0","3","0","0","false"
"L83389","1","0","17","0","6","0","0","false"
"L83390","1","0","10","0","1","0","0","false"
"L83391","3","0","21","0","5","1","561","false"
"L83392","1","0","11","0","4","3","420","false"
"L83393","2","0","13","0","4","2","3122","false"
"L83394","3","0","33","0","1","0","0","false"
"L83534","3","0","18","1","11","3","1345","false"
"L83541","3","0","27","0","12","3","3122","false"
"L83542","1","0","26","0","5","2","3122","false"
"L83543","1","0","26","0","8","4","3122","false"
"L83544","2","0","49","0","2","0","0","false"
"L83545","1","0","46","0","9","2","3122","false"
"L83546","2","0","65","0","10","0","0","false"
"L83547","1","0","7","0","2","0","0","false"
"L83548","21","0","185","0","6","3","1345","false"
"L83549","6","0","90","0","2","2","17","false"
"L83550","1","0","47","0","1","1","561","false"
"L83551","3","0","27","1","9","3","1345","false"
"L83552","3","0","54","0","7","1","1345","false"
"L83553","5","0","53","0","8","3","561","false"
"L83554","4","0","47","0","6","2","3122","false"
"L83555","12","0","97","0","20","3","3122","false"
"L83556","5","0","84","0","25","4","3122","false"
"L83557","4","0","66","0","18","3","1345","false"
"L83558","4","0","54","0","7","2","113","false"
"L83559","3","0","64","0","9","3","3122","false"
"L83560","4","0","51","0","14","3","1345","false"
"L83561","2","0","53","0","9","0","0","false"
"L83562","2","0","45","0","10","0","0","false"
"L83563","4","0","51","0","7","3","1345","false"
"L83564","9","0","95","0","9","2","113","false"
"L83565","7","0","89","0","14","4","1345","false"
"L83566","3","0","71","0","5","3","1345","false"
"L83567","2","0","42","0","7","3","1345","false"
"L83568","2","0","31","0","8","3","420","false"
"L83569","14","0","146","0","7","4","1345","false"
"L83570","4","0","86","0","6","3","3122","false"
"L83571","3","0","44","0","18","5","113","false"
"L83572","5","0","64","0","15","1","1345","false"
"L83573","1","0","37","0","11","5","561","false"
"L83574","2","0","37","0","12","1","3122","false"
"L83575","5","0","94","1","19","6","1345","false"
"L83576","1","0","37","0","5","2","3122","false"
"L83577","4","0","58","0","16","4","3122","false"
"L83578","2","0","24","0","4","2","3122","false"
"L83579","2","0","31","0","1","0","0","false"
"L83580","1","0","38","0","1","1","561","false"
"L84360","4","0","42","0","7","2","113","false"
"L84361","5","0","76","0","12","3","1345","false"
"L84386","1","0","22","0","3","3","1345","false"
"L84387","4","0","25","0","5","5","113","false"
"L84388","5","0","49","0","5","5","113","false"
"L84389","1","0","31","0","2","0","0","false"
"L84390","1","0","14","0","1","0","0","false"
"L84391","1","0","4","0","1","0","0","false"
"L84392","1","0","21","0","3","3","1345","false"
"L84393","1","0","38","0","1","0","0","false"
"L84394","1","0","21","0","1","0","0","false"
"L84395","1","0","166","0","8","5","1345","false"
"L84396","1","0","80","0","2","0","0","false"
"L84397","1","0","184","0","18","3","1345","false"
"L84398","1","0","49","1","2","2","1345","false"
"L84399","1","0","85","0","3","3","1345","false"
"L84400","1","0","96","0","2","0","0","false"
"L84401","1","0","4","0","1","0","0","false"
"L84402","2","0","44","0","2","2","113","false"
"L84403","1","0","28","0","1","0","0","false"
"L84404","1","0","30","0","1","0","0","false"
"L84405","1","0","28","0","1","0","0","false"
"L84406","1","0","71","0","2","0","0","false"
"L84407","1","0","48","0","1","0","0","false"
"L84408","5","0","47","0","5","5","113","false"
"L85015","3","0","97","0","12","3","33","false"
"L85016","1","0","52","0","2","0","0","false"
"L85017","8","0","45","0","5","3","1345","false"
"L85018","1","0","38","0","5","0","0","false"
"L85019","1","0","15","0","3","0","0","false"
"L85020","1","0","27","0","3","0","0","false"
"L85021","1","0","30","0","5","3","1345","false"
"L85147","1","0","12","0","1","0","0","false"
"L85148","3","0","26","0","1","0","0","false"
"L85178","1","0","26","0","3","3","1345","false"
"L85179","1","0","19","0","3","3","1345","false"
"L85180","1","0","17","0","3","3","1345","false"
"L85219","1","0","10","0","1","0","0","false"
"L85220","1","0","10","0","1","0","0","false"
"L85221","1","0","4","0","2","0","0","false"
"L85238","1","0","275","0","5","3","61","false"
"L85239","8","0","45","0","4","3","1345","false"
"L85451","1","0","22","0","3","0","0","false"
"L85452","1","0","31","0","2","0","0","false"
"L85453","1","0","109","0","7","0","0","false"
"L85636","3","0","45","1","39","7","1345","false"
"L85637","26","0","225","0","15","5","327","false"
"L85638","3","0","45","1","16","5","1345","false"
"L85639","11","0","63","0","7","3","327","false"
"L85640","3","0","47","0","13","5","561","false"
"L85641","4","0","46","0","9","5","3122","false"
"L85801","1","0","14","0","3","2","561","false"
"L85802","1","0","12","0","2","0","0","false"
"L85803","4","0","36","0","3","0","0","false"
"L85902","7","0","52","0","2","0","0","false"
"L85903","11","0","84","0","3","0","0","false"
"L85999","4","0","26","0","3","0","0","false"
"L86000","4","0","21","0","2","0","0","false"
"L86001","1","0","17","0","3","0","0","false"
"L86002","1","0","13","0","2","0","0","false"
"L86003","6","0","28","0","2","2","1345","false"
"L86004","2","0","22","0","2","0","0","false"
"L86005","7","0","37","0","1","0","0","false"
"L86006","2","0","19","0","2","0","0","false"
"L86109","4","0","40","0","3","0","0","false"
"L86110","2","0","19","0","2","0","0","false"
"L86111","6","0","37","0","6","0","0","false"
"L86112","1","0","24","0","2","2","113","false"
"L86113","1","0","15","0","5","4","33","false"
"L86114","2","0","21","0","3","0","0","false"
"L86115","1","0","21","0","3","0","0","false"
"L86116","6","0","29","0","2","0","0","false"
"L86117","1","0","17","0","3","1","1345","false"
"L86118","8","0","43","0","7","3","327","false"
"L86119","2","0","19","0","2","0","0","false"
"L86219","2","0","26","0","2","0","0","false"
"L86236","1","0","26","0","2","0","0","false"
"L86237","1","0","22","0","2","0","0","false"
"L86238","1","0","27","0","3","0","0","false"
"L86239","4","0","33","1","4","2","561","false"
"L86240","3","0","16","0","3","0","0","false"
"L86241","4","0","20","0","3","0","0","false"
"L86242","3","0","15","0","3","0","0","false"
"L86243","1","0","20","0","4","0","0","false"
"L86244","4","0","18","0","3","0","0","false"
"L86341","267","0","1823","17","419","17","3122","false"
"L86342","3","0","40","0","7","5","1345","false"
"L86343","4","0","36","0","10","1","3122","false"
"L86344","59","0","224","0","28","6","1345","false"
